app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
t-online-mail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
web-de-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
flexnet-publisher,business-systems,software-update,client-server,3,yes,no,no,no,yes,yes,no,yes,no
smart-bridgit,collaboration,internet-conferencing,client-server,1,no,yes,no,no,no,no,no,yes,no
viadeo,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
mercurial,business-systems,general-business,client-server,4,yes,no,no,yes,yes,yes,no,no,no
activesync,business-systems,general-business,client-server,4,yes,no,no,yes,yes,yes,no,yes,no
gmx-mail,collaboration,email,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
zattoo,media,photo-video,client-server,1,no,yes,no,no,no,no,no,no,no
iheartradio,media,audio-streaming,browser-based,3,yes,yes,no,no,yes,no,no,no,no
realtunnel,networking,encrypted-tunnel,client-server,2,yes,no,no,no,no,yes,no,yes,no
twitpic,collaboration,instant-messaging,browser-based,3,yes,no,no,yes,no,no,no,yes,no
dameware-mini-remote,networking,remote-access,client-server,3,no,no,no,yes,yes,no,yes,no,no
sky-player,media,photo-video,client-server,4,yes,yes,no,no,yes,yes,no,yes,no
rtmpe,media,photo-video,browser-based,4,yes,yes,no,yes,no,yes,no,yes,no
msn-p2p,collaboration,voip-video,client-server,1,no,no,no,no,no,yes,no,no,no
nateon,collaboration,social-networking,client-server,3,no,no,no,no,yes,yes,yes,no,no
google-app-engine,general-internet,internet-utility,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
nateon-file-transfer,general-internet,file-sharing,client-server,4,no,no,yes,yes,yes,no,no,no,no
nateon-audio-video,collaboration,voip-video,client-server,1,no,yes,no,no,no,no,no,no,no
yousendit-uploading,general-internet,file-sharing,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
evony,media,gaming,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
clip2net,general-internet,file-sharing,client-server,4,yes,yes,no,yes,yes,no,no,no,no
nate-mail,collaboration,email,client-server,3,no,no,yes,yes,no,no,no,yes,no
nateon-desktop-sharing,collaboration,internet-conferencing,client-server,3,yes,no,no,no,yes,yes,no,no,no
checkpoint-cpmi,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
iscsi,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,yes,no
bluecoat-adn,networking,infrastructure,client-server,1,no,no,no,no,no,yes,no,no,no
nateon-im,collaboration,instant-messaging,client-server,4,yes,no,yes,no,yes,no,no,no,no
woome,collaboration,social-networking,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
t_120,networking,infrastructure,network-protocol,1,no,no,no,no,no,yes,no,no,no
shutterfly,media,photo-video,browser-based,3,no,no,no,yes,yes,no,no,yes,no
flickr-uploading,media,photo-video,browser-based,3,no,no,no,yes,yes,no,no,yes,no
mekusharim,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
facebook-apps,collaboration,social-networking,browser-based,4,no,no,yes,no,yes,yes,no,yes,no
python-easy-install,business-systems,general-business,client-server,2,no,no,no,yes,no,yes,no,yes,no
stagevu,media,photo-video,browser-based,3,no,yes,no,yes,yes,no,no,no,no
oridus-nettouch,collaboration,internet-conferencing,client-server,4,yes,no,no,yes,yes,yes,no,no,no
docstoc-uploading,general-internet,file-sharing,browser-based,4,yes,no,no,yes,yes,no,no,yes,no
msdp,networking,routing,network-protocol,2,no,no,no,no,yes,no,no,yes,no
firefox-update,business-systems,software-update,browser-based,3,no,no,no,yes,yes,no,no,yes,no
proxeasy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,no,no
insufficient-data,business-systems,audio-streaming,browser-based,1,no,no,no,no,no,no,no,no,no
kaixin001,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
tales-runner,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
we-dancing-online,media,gaming,client-server,1,no,no,no,no,no,no,no,no,no
kaixin-chat,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
kaixin-mail,collaboration,email,browser-based,2,no,no,no,no,yes,no,no,yes,yes
loglogic,business-systems,management,client-server,2,no,yes,no,yes,no,no,no,no,no
palringo,collaboration,instant-messaging,client-server,3,yes,no,no,no,yes,yes,no,no,no
kaixin001-mail,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
kugoo-internal,unknown,web-posting,browser-based,1,no,no,no,no,no,no,no,no,no
ms-scom,business-systems,management,client-server,1,no,no,no,no,no,no,no,yes,no
cgi-irc,collaboration,instant-messaging,browser-based,4,yes,no,yes,no,yes,no,yes,yes,no
mibbit,collaboration,instant-messaging,browser-based,4,yes,no,no,yes,yes,yes,yes,no,no
keyholetv,media,photo-video,client-server,1,no,yes,no,no,no,no,no,no,no
yosemite-backup,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,no,no
oracle-ipm,business-systems,general-business,client-server,1,no,no,no,yes,no,no,no,no,no
emc-smartpackets,business-systems,storage-backup,network-protocol,1,no,no,no,no,no,no,no,no,no
badongo,general-internet,file-sharing,browser-based,4,no,yes,no,yes,yes,no,yes,yes,no
xunlei-internal,networking,ip-protocol,browser-based,1,no,no,no,no,no,no,no,no,no
bigupload,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,yes
adrive,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
kakao-file-transfer,collaboration,instant-messaging,client-server,2,no,yes,no,yes,no,no,no,no,no
kakaotalk-file-transfer,general-internet,file-sharing,client-server,3,no,yes,no,yes,yes,no,no,yes,no
ifile.it,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,yes,no,yes,no
filer.cx,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,no,no
bonpoo,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,no,no
twitter-posting,collaboration,social-networking,browser-based,4,yes,no,yes,no,yes,no,no,yes,no
files.to,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,yes,no,no
gigaup,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,yes,no,no
skydur,networking,proxy,client-server,2,yes,no,no,no,yes,no,no,no,no
dl.free,general-internet,file-sharing,browser-based,3,no,no,yes,no,yes,no,yes,no,no
bigupload-internal,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,yes,yes
vidsoft,collaboration,voip-video,client-server,2,no,no,no,yes,no,yes,no,no,no
fasp,general-internet,file-sharing,client-server,2,no,yes,no,yes,no,no,no,no,no
kkbox,media,audio-streaming,client-server,3,yes,yes,no,yes,no,no,no,yes,no
eve-online,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
maplestory,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
hovrs,collaboration,instant-messaging,client-server,1,no,no,no,no,no,no,no,no,no
icap,general-internet,internet-utility,network-protocol,1,no,no,no,no,no,no,no,no,no
unreal,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
netflix,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
alisoft,business-systems,management,browser-based,3,no,no,no,yes,yes,no,no,yes,no
pharos,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
wwiTV,media,voip-video,network-protocol,2,no,yes,no,no,yes,no,no,no,no
showmypc,networking,remote-access,client-server,4,yes,no,no,yes,yes,yes,no,no,no
channel4,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
gogobox,collaboration,social-networking,browser-based,4,no,yes,yes,yes,yes,no,no,yes,no
mcafee-update,business-systems,software-update,client-server,2,no,no,no,no,yes,no,no,yes,no
lineage,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
google-wave,collaboration,internet-conferencing,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
clubbox,collaboration,social-networking,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
gtunnel,networking,encrypted-tunnel,client-server,5,yes,no,no,yes,yes,yes,yes,yes,no
all-slots-casino,media,gaming,client-server,4,yes,yes,no,no,yes,no,yes,yes,no
adnstream,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
studivz,collaboration,social-networking,browser-based,2,no,no,no,no,yes,no,no,yes,no
meinvz,collaboration,social-networking,browser-based,2,no,no,no,no,yes,no,no,yes,no
adrive-internal,general-internet,file-sharing,browser-based,2,no,yes,no,yes,no,no,no,no,no
bomgar,networking,remote-access,client-server,4,yes,no,no,yes,yes,yes,no,no,no
bet365,media,gaming,browser-based,2,no,no,no,no,yes,no,no,yes,no
steganos-vpn,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,yes,yes,no,no,no
divshare,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
dl-free,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,no
file-host,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,no,no
netload,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,no,no
sharebase.to,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
sakai,business-systems,general-business,browser-based,2,no,no,no,yes,yes,no,no,no,no
ibm-clearcase,business-systems,general-business,client-server,2,no,no,no,yes,yes,no,no,no,no
yoono,collaboration,instant-messaging,client-server,3,yes,no,no,no,yes,yes,no,no,no
sflow,business-systems,management,client-server,1,no,no,no,no,no,no,no,yes,no
eset-update,business-systems,software-update,client-server,1,no,no,no,no,yes,no,no,no,no
google-translate,general-internet,internet-utility,browser-based,2,no,no,no,yes,no,yes,no,yes,no
arcserve,networking,infrastructure,client-server,3,no,yes,no,yes,yes,no,no,no,no
evalesco-sysorb,networking,infrastructure,client-server,1,no,no,no,no,yes,no,no,no,no
adobe-online-office,business-systems,office-programs,browser-based,3,no,no,no,yes,yes,no,no,yes,no
apple-maps,general-internet,internet-utility,client-server,1,no,yes,no,no,no,no,no,yes,no
adobe-meeting-remote-control,networking,remote-access,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
youtube-safety-mode,media,photo-video,browser-based,4,yes,yes,yes,no,yes,no,no,yes,no
heroix-longitude,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
modbus-encapsulated-transport,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-coils,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-discrete-inputs,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-mask-write-register,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-fifo-queue,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-file-record,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-holding-registers,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-input-registers,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
desknets,networking,remote-access,client-server,1,no,yes,no,no,no,no,no,no,no
uploading,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
uploadmachine,general-internet,file-sharing,browser-based,1,no,no,no,yes,no,no,no,no,no
usejump,general-internet,internet-utility,browser-based,4,yes,no,no,no,yes,yes,yes,no,no
uploadmirrors,general-internet,file-sharing,browser-based,1,no,no,no,yes,no,no,no,no,no
zshare,general-internet,file-sharing,browser-based,1,no,no,no,no,no,no,no,no,no
propalms,business-systems,general-business,client-server,3,yes,no,no,yes,no,yes,no,no,no
google-buzz,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
dazhihui,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
tonghuashun,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
ezpeer,media,audio-streaming,browser-based,2,yes,yes,no,no,no,no,no,no,no
chatroulette,collaboration,voip-video,browser-based,3,no,yes,no,no,yes,no,yes,yes,no
modbus-write-multiple-registers,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
air-video,media,audio-streaming,client-server,1,no,yes,no,no,no,no,no,no,no
millenium-ils,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
modbus-write-single-register,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-write-single-coil,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-write-file-record,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
modbus-read-write-register,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
steekr,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
synergy,networking,remote-access,client-server,1,no,no,no,no,yes,no,no,no,no
jnet,business-systems,general-business,browser-based,1,no,no,no,no,no,no,no,no,no
chatango,collaboration,instant-messaging,client-server,1,no,no,no,no,yes,no,no,no,no
hightail-uploading,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
micros,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
vimeo-uploading,media,photo-video,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
war2glory,media,gaming,browser-based,1,no,no,no,no,yes,no,no,no,no
dropsend,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,no,no
modbus-write-multiple-coils,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
regnum,media,gaming,client-server,1,no,yes,no,no,no,no,no,no,no
baofeng,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,yes,yes,no
tinyvpn,networking,encrypted-tunnel,client-server,3,yes,no,no,yes,no,yes,no,yes,no
adobe-media-player,media,photo-video,client-server,2,yes,yes,no,no,no,no,no,no,no
google-cache,general-internet,internet-utility,browser-based,3,yes,no,no,no,yes,no,no,yes,no
leapfile,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
carefx,business-systems,general-business,client-server,2,no,no,no,yes,no,yes,no,no,no
vnn,networking,encrypted-tunnel,peer-to-peer,4,yes,no,no,yes,yes,yes,yes,no,no
capwap,networking,infrastructure,network-protocol,1,no,no,no,no,yes,no,no,no,no
teachertube,media,photo-video,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
gmail-enterprise,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
yantra,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
google-docs-enterprise,business-systems,office-programs,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
aol-proxy,networking,proxy,client-server,4,yes,no,no,yes,yes,yes,yes,no,no
remobo,networking,encrypted-tunnel,peer-to-peer,4,yes,no,no,yes,no,yes,yes,no,no
modbus-dummy,business-systems,management,browser-based,1,no,no,no,no,no,no,no,no,no
qq-games,media,gaming,client-server,1,no,yes,no,no,no,no,no,yes,no
fogbugz,business-systems,erp-crm,browser-based,2,no,no,no,yes,yes,no,no,no,yes
tv4play,media,photo-video,browser-based,2,yes,yes,no,no,no,no,no,yes,no
svtplay,media,photo-video,browser-based,2,yes,yes,no,no,no,no,no,yes,no
rmi-iiop,business-systems,general-business,client-server,1,no,no,no,no,no,yes,no,no,no
ossec,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
facebook-social-plugin,collaboration,social-networking,browser-based,3,yes,no,no,no,yes,no,no,yes,no
mobility-xe,networking,encrypted-tunnel,client-server,2,no,no,no,yes,no,yes,no,no,no
voddler,media,photo-video,peer-to-peer,1,no,yes,no,no,no,no,no,no,no
microsoft-dynamics-crm,business-systems,erp-crm,browser-based,1,no,no,no,yes,no,no,no,no,yes
linkedin-mail,collaboration,email,browser-based,2,no,no,no,no,yes,no,no,yes,yes
360-safeguard-update,business-systems,software-update,client-server,2,yes,no,no,no,yes,no,no,no,no
your-freedom,networking,proxy,client-server,4,yes,no,no,yes,yes,yes,yes,no,no
brighttalk,media,photo-video,browser-based,3,yes,no,no,no,yes,no,no,yes,no
facebook-posting,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
sentillion,business-systems,management,browser-based,2,no,no,no,yes,yes,no,no,no,no
akamai-client,general-internet,file-sharing,client-server,3,no,yes,no,yes,yes,no,no,no,no
hyves-chat,collaboration,instant-messaging,client-server,2,no,no,no,no,yes,no,no,yes,no
oracle-bi,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
cygnet-scada,business-systems,management,network-protocol,1,no,no,no,no,no,no,no,no,no
turboshare,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,yes
ameba-now,collaboration,social-networking,browser-based,4,yes,no,yes,no,yes,no,no,yes,no
ameba-now-posting,collaboration,social-networking,browser-based,4,yes,no,yes,no,yes,no,no,yes,no
trendmicro-officescan,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
netlog,collaboration,social-networking,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
transferbigfiles,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,yes
storage.to,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
plugoo-widget,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
myspace-posting,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
itv-player,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
google-docs-editing,business-systems,office-programs,browser-based,4,yes,no,yes,no,yes,no,no,yes,no
bebo-posting,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
call-of-duty,media,gaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
gnu-httptunnel,networking,proxy,client-server,5,yes,no,yes,yes,yes,yes,yes,no,no
google-docs-uploading,business-systems,office-programs,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
boxnet-editing,general-internet,file-sharing,browser-based,3,yes,no,no,no,yes,no,no,yes,no
woofiles,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,no,no
turboupload,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,no,no
paradise-paintball,media,gaming,browser-based,1,no,yes,no,no,no,no,no,yes,no
boxnet-uploading,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,yes
emc-networker,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,yes,no
cloudmark-desktop,general-internet,internet-utility,client-server,1,no,no,no,yes,no,no,no,no,no
gtp,networking,infrastructure,network-protocol,1,no,no,no,no,no,yes,no,yes,no
warcraft,media,gaming,client-server,2,no,yes,yes,no,no,no,no,yes,no
afreeca,media,photo-video,browser-based,4,no,yes,yes,yes,yes,no,no,yes,no
cyworld,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
hyves-mail,collaboration,email,browser-based,3,no,no,yes,no,yes,no,no,yes,yes
hyves-music,media,audio-streaming,browser-based,2,no,no,no,no,yes,no,no,yes,no
hyves-games,media,gaming,browser-based,2,no,no,no,no,yes,no,no,yes,no
ammyy-admin,networking,remote-access,client-server,3,yes,no,no,yes,no,yes,no,no,no
megashare,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,yes,no,yes
daum,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
facetime,collaboration,voip-video,peer-to-peer,2,no,yes,no,no,no,yes,no,yes,no
linkedin-posting,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
mikogo,collaboration,internet-conferencing,client-server,2,yes,no,no,no,yes,no,no,no,no
hotfile,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
mydownloader,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
funshion,media,photo-video,client-server,5,yes,yes,yes,yes,yes,no,no,no,no
winamax,media,gaming,client-server,3,yes,no,no,no,yes,no,no,yes,no
webrdp,networking,remote-access,client-server,3,no,no,yes,no,yes,no,no,no,no
sina-weibo,collaboration,social-networking,browser-based,4,no,no,yes,no,yes,yes,no,yes,no
ibm-bigfix,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
sina-weibo-posting,collaboration,social-networking,browser-based,3,no,no,yes,no,yes,no,no,yes,no
tradestation,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
telenet-webmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
suresome,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,yes,no
isatap,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
qq-file-transfer,general-internet,file-sharing,client-server,5,yes,yes,yes,yes,no,no,yes,yes,no
vimeo,media,photo-video,browser-based,5,yes,yes,yes,yes,yes,yes,no,yes,yes
ngrok,networking,encrypted-tunnel,client-server,3,no,no,no,yes,yes,yes,no,yes,no
mygreenpc,networking,remote-access,client-server,3,yes,no,no,no,yes,no,yes,no,no
dcinside,collaboration,social-networking,browser-based,3,no,no,yes,no,yes,no,no,yes,no
naver-mail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
baidu-hi,collaboration,instant-messaging,client-server,3,no,no,yes,no,yes,no,no,yes,no
baidu-hi-file-transfer,general-internet,file-sharing,client-server,4,no,no,yes,yes,yes,no,no,yes,no
naver-blog-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,no,yes,no
ibm-websphere-mq,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,yes,no
dcinside-posting,collaboration,web-posting,browser-based,3,no,no,yes,no,yes,no,no,yes,no
ms-virtualserver,business-systems,management,browser-based,2,no,no,no,no,yes,no,no,yes,no
pcvisit,networking,remote-access,client-server,3,no,no,no,yes,yes,no,yes,yes,no
simplite-msn,collaboration,instant-messaging,peer-to-peer,4,yes,no,yes,yes,yes,no,no,no,no
vmware-vmotion,networking,infrastructure,client-server,1,no,no,no,no,yes,no,no,no,no
skynet-webmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,no,yes
twtkr,collaboration,social-networking,browser-based,3,no,no,yes,no,yes,no,no,yes,no
me2day,collaboration,social-networking,browser-based,4,yes,no,yes,no,yes,no,no,yes,no
msnshell,collaboration,instant-messaging,peer-to-peer,3,no,no,yes,yes,no,no,no,yes,no
pullbbang-video,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
mixi-posting,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
qdown,general-internet,file-sharing,client-server,5,yes,yes,yes,yes,yes,no,yes,no,no
fileguri,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,no,no,yes,yes,no
onlive,media,gaming,client-server,2,no,no,no,yes,yes,no,no,no,no
webex-file-sharing,general-internet,file-sharing,client-server,3,yes,yes,no,yes,no,no,no,yes,no
totodisk,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
baidu-hi-games,media,gaming,client-server,3,yes,no,no,no,yes,no,no,yes,no
vkontakte,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
baidu-hi-audio-video,collaboration,voip-video,client-server,2,no,no,no,no,yes,no,no,yes,no
baidu-webmessenger,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
hl7,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,yes,no
filemail,general-internet,file-sharing,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,yes
qq-audio-video,collaboration,voip-video,client-server,1,no,yes,no,no,no,no,no,yes,no
vkontakte-chat,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,yes
vkontakte-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
crashplan,business-systems,storage-backup,client-server,4,yes,yes,no,yes,yes,no,no,no,no
emc-documentum-webtop,business-systems,general-business,browser-based,2,no,no,no,no,yes,no,no,yes,yes
gmail-call-phone,collaboration,voip-video,browser-based,1,no,no,no,no,no,no,no,no,no
orsiso,collaboration,social-networking,client-server,4,no,no,yes,yes,yes,no,no,no,no
fotoweb,media,photo-video,browser-based,3,yes,no,no,yes,yes,no,no,no,no
gmail-video-chat,collaboration,voip-video,browser-based,2,yes,yes,no,no,no,no,no,yes,no
sina-uc,collaboration,instant-messaging,client-server,3,yes,no,no,no,yes,yes,no,yes,no
xunlei-kankan,media,photo-video,peer-to-peer,2,no,yes,no,yes,no,no,no,yes,no
ntr-support,networking,remote-access,client-server,3,yes,no,no,yes,no,no,yes,no,no
sina-uc-audio-video,collaboration,voip-video,client-server,2,no,no,no,no,yes,no,no,yes,no
sina-uc-file-transfer,general-internet,file-sharing,client-server,3,yes,no,no,yes,no,no,no,yes,no
sina-uc-p2p,collaboration,instant-messaging,peer-to-peer,5,yes,yes,yes,no,yes,yes,no,yes,no
renren-im,collaboration,instant-messaging,client-server,2,no,no,yes,no,no,no,no,yes,no
egloos-blog-posting,collaboration,web-posting,browser-based,2,no,no,no,yes,yes,no,no,no,no
tudou-speedup,media,photo-video,peer-to-peer,4,no,yes,no,yes,yes,no,yes,yes,no
sina-webuc,collaboration,instant-messaging,browser-based,3,no,no,yes,no,yes,no,no,yes,no
popo-im,collaboration,instant-messaging,client-server,3,yes,yes,no,yes,no,no,no,yes,no
sina-uc-remote-control,networking,remote-access,client-server,2,yes,no,no,no,no,no,yes,yes,no
copainsdavant,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
kaseya,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
caihong,collaboration,instant-messaging,client-server,4,yes,yes,no,yes,yes,no,yes,yes,no
sina-uc-web-disk,general-internet,file-sharing,client-server,4,yes,yes,no,yes,yes,no,no,yes,no
tistory-blog-posting,collaboration,web-posting,browser-based,2,no,no,no,yes,yes,no,no,no,no
sbs-netv,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
yy-voice,collaboration,instant-messaging,client-server,3,yes,yes,no,no,yes,no,no,yes,no
doshow,collaboration,instant-messaging,client-server,2,no,yes,no,no,yes,no,no,yes,no
yy-voice-games,media,gaming,client-server,3,yes,no,no,no,yes,no,no,yes,no
ssh-tunnel,networking,encrypted-tunnel,client-server,5,yes,no,no,yes,yes,yes,yes,yes,no
magister,business-systems,general-business,browser-based,2,no,no,no,yes,yes,no,no,no,no
korea-webmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
yy-voice-file-transfer,general-internet,file-sharing,client-server,3,yes,yes,no,yes,no,no,no,yes,no
diodeo,media,photo-video,browser-based,2,no,yes,yes,no,no,no,no,yes,no
ocsp,networking,infrastructure,client-server,2,no,no,no,no,yes,no,no,yes,no
naver-ndrive,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,yes
ali-wangwang,collaboration,instant-messaging,client-server,3,yes,no,no,no,yes,no,no,yes,no
ali-wangwang-file-transfer,general-internet,file-sharing,client-server,3,yes,yes,no,yes,no,no,no,yes,no
aruba-papi,networking,infrastructure,network-protocol,1,no,no,no,no,no,no,no,yes,no
sharebox,general-internet,file-sharing,client-server,4,no,yes,yes,yes,no,no,yes,yes,no
ali-wangwang-audio-video,collaboration,voip-video,client-server,2,yes,yes,no,no,no,no,no,yes,no
