app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
dcn-meas,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
hmp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
prm,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
xns-idp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
trunk-1,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
trunk-2,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
leaf-1,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
leaf-2,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
reliable-data,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
irtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
iso-tp4,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
netblt,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
mfe-nsp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
merit-inp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
dccp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
fileapp,general-internet,file-sharing,client-server,3,no,no,no,yes,yes,no,no,yes,no
rdio,media,audio-streaming,browser-based,2,no,no,no,no,yes,no,no,yes,no
podio,collaboration,social-business,browser-based,2,no,no,no,yes,yes,no,no,no,yes
3pc,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
idpr,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
xtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ddp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
idpr-cmtp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
il,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipv6,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
sdrp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
ipv6-route,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
ipv6-frag,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
ms-ds-smb,business-systems,storage-backup,client-server,3,no,no,no,yes,yes,yes,no,yes,no
idrp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
rsvp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
gre,networking,routing,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
dsr,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
bna,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
i-nlsp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
swipe,networking,encrypted-tunnel,client-server,2,no,no,no,yes,no,yes,no,no,no
narp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
mobile,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
tlsp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ssh,networking,encrypted-tunnel,client-server,4,no,no,yes,yes,yes,yes,no,yes,no
skip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipv6-icmp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
ipv6-nonxt,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
ipv6-opts,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
host,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
cftp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
lan,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sat-expak,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
kryptolan,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
rvd,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
telnet,networking,remote-access,client-server,2,no,no,no,no,yes,no,yes,yes,no
ippc,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
dfs,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sat-mon,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
visa,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipcv,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
cpnx,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
cphb,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
wsn,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pvp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
br-sat-mon,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
dhcp,networking,infrastructure,network-protocol,2,no,no,no,no,yes,no,no,yes,no
sun-nd,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
wb-mon,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
wb-expak,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
iso-ip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
vmtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
secure-vmtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
vines,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ttp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
nsfnet-igp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
dgp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
active-directory,business-systems,auth-service,client-server,2,no,no,no,no,yes,no,no,yes,no
finger,general-internet,internet-utility,client-server,2,no,no,no,no,yes,no,no,yes,no
tcf,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
eigrp,networking,routing,network-protocol,2,no,no,no,no,yes,no,no,yes,no
sprite-rpc,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
larp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
mtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,yes,no,yes,no
etherip,networking,ip-protocol,network-protocol,3,yes,no,no,yes,no,yes,no,no,no
encap,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
private-enc,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
gmtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ifmp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pnni,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pim,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
aris,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
scps,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
qnx,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
activenet,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipcomp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,yes,no
snp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
dns,networking,infrastructure,network-protocol,4,no,no,yes,no,yes,yes,no,yes,no
compaq-peer,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ipx-in-ip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
vrrp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pgm,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ddx,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
iatp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
stp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
srp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
