app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
"aruba-papi",networking,infrastructure,"network-protocol",1,no,no,no,no,no,no,no,yes,no,"udp/8211"
as2,"business-systems","general-business","client-server",2,no,no,no,yes,no,no,no,yes,no,"tcp/80,443,4080,5443"
asana,collaboration,"social-business","browser-based",2,no,no,no,yes,yes,no,no,no,yes,"tcp/443,80"
"asf-streaming",media,"photo-video","browser-based",5,no,yes,yes,yes,yes,yes,no,yes,no,"tcp/80"
asproxy,networking,proxy,"browser-based",5,yes,no,yes,yes,yes,yes,yes,no,no,"tcp/80,443"
"asterisk-iax",collaboration,"voip-video","peer-to-peer",2,no,no,no,no,yes,no,no,yes,no,"udp/4569"
"asus-webstorage","general-internet","file-sharing","client-server",3,yes,yes,no,yes,no,no,no,yes,yes,"tcp/80,443"
"atempo-tina","business-systems","storage-backup","client-server",2,no,yes,no,yes,no,no,no,yes,no,"tcp/2525|udp/2526"
atmail,collaboration,email,"browser-based",1,no,no,no,no,no,no,no,no,no,"tcp/80,443"
atom,"general-internet","internet-utility","client-server",4,no,no,yes,yes,yes,yes,no,yes,no,"tcp/80"
"att-connect",collaboration,"internet-conferencing","client-server",4,yes,yes,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"att-locker","general-internet","file-sharing","browser-based",1,no,no,no,no,yes,no,no,no,yes,"tcp/443,80"
"att-office-at-hand",collaboration,"voip-video","client-server",1,no,no,no,no,yes,no,no,no,yes,"tcp/80,443"
"authentic8-silo",networking,"encrypted-tunnel","client-server",2,no,no,no,no,no,yes,yes,no,no,"tcp/443"
autobahn,"general-internet","internet-utility","client-server",1,no,yes,no,no,no,yes,no,no,no,"tcp/80"
"autodesk360-base","business-systems","general-business","browser-based",1,no,no,no,no,no,yes,no,yes,yes,"tcp/443"
"autodesk360-uploading","business-systems","general-business","browser-based",2,no,no,no,yes,no,no,yes,no,yes,"tcp/443"
